objectid,title,alternatetitle,category,externalurl,institution,access,sourcelist,tags,description,sau,lastmodified
1109,PRC Ministry of Foreign Affairs - Speeches archive (Chinese),,Political Documents (Contemporary),https://www.mfa.gov.cn/,"Ministry of Foreign Affairs, People's Republic of China",open access,Princeton China Studies Research Guide,"Contemporary (post-1978),International relations,Law and Government,Full-text","The Ministry of Foreign Affairs of the People's Republic of China website provides free access to an extensive archive of speeches, press statements, diplomatic communiqués, and official documents. The archive includes transcripts of ministry spokesperson press conferences, foreign minister speeches, bilateral agreements, and policy statements covering China's foreign relations from the 1980s to the present. Content is primarily in Chinese, with English-language materials available through a separate section of the site.",6,5/19/2026 4:21pm
1110,China Business Reference (China BRef),,Legal sources,https://www.chinabref.com/,"Wanfang Data Co., Ltd.",subscription,Princeton China Studies Research Guide,"Law,Full-text,Contemporary (post-1978)","China Business Reference (ChinaBRef) provides access to hundreds of thousands of Chinese laws, regulations, and legal commentaries in both Chinese and English, covering commercial law, contract law, intellectual property, foreign investment regulations, and related areas. Content can be searched by keyword or browsed by legal category, making it a practical reference for researchers studying Chinese business law and regulatory frameworks.",6,5/19/2026 10:46pm
1111,China Economic and Social Data Platform,中国经济社会大数据研究平台,Statistics and Data,https://data.oversea.cnki.net/en,CNKI (China National Knowledge Infrastructure),subscription,Princeton China Studies Research Guide,"Economy,Dataset,Contemporary (post-1978)","The China Economic and Social Big Data Research Platform is a CNKI product that enables cross-yearbook indicator searches and online map generation using statistical data from officially published Chinese statistical yearbooks. The platform aggregates provincial, municipal, and county-level data from national and regional yearbooks, allowing researchers to track economic and social indicators over time and download data for further analysis.",7,5/19/2026 10:46pm
1112,China Premium Database (CEIC),,Statistics and Data,https://www.ceicdata.com/,CEIC Data (ISI Emerging Markets Group),subscription,Princeton China Studies Research Guide,"Economy,Dataset,Contemporary (post-1978)","The CEIC China Premium Database is a leading macroeconomic and financial time series platform covering over 300,000 data series for China running back to 1949. It covers national accounts, government and public finance, demographic and labor market statistics, inflation, foreign trade, foreign direct investment, financial markets, and industry-sector data. The database includes subnational data at provincial, municipal, and county levels for over 200 cities, as well as comparable data for Brazil, India, Indonesia, and Russia. Data can be exported in multiple formats and visualized through built-in charting tools.",8,5/19/2026 4:21pm
1113,National Bureau of Statistics of China,,Statistics and Data,https://www.stats.gov.cn/english/,"National Bureau of Statistics, People's Republic of China",open access,Princeton China Studies Research Guide,"Contemporary (post-1978),Economy,Dataset","The National Bureau of Statistics of China (NBS) website provides free access to official Chinese government statistical data, including monthly, quarterly, and annual series on national accounts, population, employment, prices, trade, and industry. The site hosts the full run of China Statistical Yearbooks and population census data, with regional breakdowns by province and municipality. Data are available in both Chinese and English. The NBS is the primary authoritative source for official PRC macroeconomic and social statistics.",7,5/19/2026 4:21pm
1114,EPS China Statistics,,Statistics and Data,https://olap3-en.epsnet.com.cn/index.html?flag=0,"Beijing Focus Information Technology Co., Ltd.",subscription,Princeton China Studies Research Guide,"Economy,Dataset,Contemporary (post-1978)","EPS China Statistics is a large-scale statistical data platform comprising over 100 datasets covering China's population censuses, macroeconomy, financial markets, industry, trade, natural resources, and social indicators. The database has a particularly strong focus on subnational data at the city and county level. Users can create charts and maps and download data in multiple formats (Excel, JPEG, PDF). The platform contains over 1.2 million time series with an annual increment of more than 30 million data points.",7,5/19/2026 10:46pm
1115,Japanese-occupied China Collection - Stanford University Library and Hoover Institution,,Subject Guides and Bibliographies,https://exhibits.stanford.edu/occupiedChinabibliography,Stanford University,open access,Princeton China Studies Research Guide,"Military,Colonialism,Republican era (1912–1949),Historical archive","The Japanese-occupied China Collection Online Bibliography is a freely accessible digital resource developed by Stanford University's East Asia Library and the Hoover Institution, cataloging primary source materials from the period of Japanese occupation in China (1932–1945). The bibliography covers newspapers, archival documents, and publications primarily in Chinese held at Stanford, with introductory overviews of key topics, highlights of rare and unique items, and recommended scholarly readings on wartime and occupied China.",6,5/19/2026 4:21pm
1116,Oxford Bibliographies: Chinese Studies,,Subject Guides and Bibliographies,https://www.oxfordbibliographies.com/page/287,Oxford University Press,subscription,Princeton China Studies Research Guide,Secondary sources,"Oxford Bibliographies: Chinese Studies is a peer-reviewed reference resource offering expert-curated, annotated bibliographies on topics spanning Chinese history, literature, philosophy, politics, religion, art, and society. Each entry is written by a leading scholar in the field and combines an overview essay with a selective annotated bibliography pointing to essential primary and secondary sources. The resource covers both pre-modern and contemporary China and is organized into discipline-spanning subject modules, maintained and published by Oxford University Press.",8,5/19/2026 4:21pm
1117,Traditional Chinese Medicine Database (CNKI TCMD),中医药系列知识服务平台,E-books (Contemporary),https://tcm.oversea.cnki.net/en/,CNKI (China National Knowledge Infrastructure),subscription,Princeton China Studies Research Guide,"Medicine,Full-text","TCMD provides access to basic theories, clinical research, common diseases, diagnostics, treatment, rehabilitation, and the integration of TCM and western medicine. The database covers Chinese Herbal Medicine, Disease Diagnosis, and Treatment Knowledge and TCM Prescription. It includes access to TCM  eBooks and videos and references to TCM resources in other CNKI databases (journal, conference proceedings, etc.). The database will open with English menus, but can be switched to Chinese. It includes Chinese and English content.",7,5/19/2026 10:46pm
1118,Chinese Film and Newsreel Scripts from the Cultural Revolution Online,,Archival Material,https://primarysources.brillonline.com/browse/chinese-filmscript-and-advertisement-collection-19461985,Brill,subscription,Princeton China Studies Research Guide,"Cultural Revolution (1966–1976),Military,Full-text,Historical archive,Popular media,Early PRC (1949–1966)","Online access to transcripts of documentary films and newsreels from China, 1946(?)-1985. The bulk of the items are from the Cultural Revolution, 1966-1976; all documents are in Chinese. The 1,750 items were created by the Central Newsreel and Documentary Film Studio (Zhong yang xin wen ji lu dian ying zhi pian chang), a cinema company with nation-wide responsibilities based in Henan province. This online version is directly based upon a previously published microfilm set entitled The Chinese Filmscript and Advertisement Collection; the text images are of intermediate quality and not full-text searchable. The collection is arranged into four series: Advertisements and Film Description Series, 1953-1966; Documentary and Newsreel Scripts, 1946(?)-1985; Feature Filmscripts, undated; and Newspaper Clipping Scrapbook, 1950-1959. The original items are held at Duke University.",7,5/19/2026 10:46pm
